,precision,recall,f1-score,support
KL-0,0.875,0.84,0.8571428571428571,100.0
KL-1,0.6764705882352942,0.69,0.6831683168316832,100.0
KL-2,0.65625,0.63,0.6428571428571429,100.0
KL-3,0.6936936936936937,0.77,0.7298578199052133,100.0
KL-4,0.6551724137931034,0.5588235294117647,0.6031746031746031,34.0
accuracy,0.7188940092165899,0.7188940092165899,0.7188940092165899,0.7188940092165899
macro avg,0.7113173391444183,0.6977647058823528,0.7032401479823001,434.0
weighted avg,0.7198555075158164,0.7188940092165899,0.7184574888977561,434.0
