,precision,recall,f1-score,support
KL-0,0.865979381443299,0.84,0.8527918781725888,100.0
KL-1,0.6272727272727273,0.69,0.6571428571428571,100.0
KL-2,0.6477272727272727,0.57,0.6063829787234043,100.0
KL-3,0.648854961832061,0.85,0.7359307359307359,100.0
KL-4,1.0,0.23529411764705882,0.38095238095238093,34.0
accuracy,0.6981566820276498,0.6981566820276498,0.6981566820276498,0.6981566820276498
macro avg,0.757966868655072,0.6370588235294117,0.6466401661843935,434.0
weighted avg,0.7211599869298064,0.6981566820276498,0.6870442994224414,434.0
